dynamicProperties;occurrenceID;collectionID;catalogNumber;preparastions;recordedBy;identifiedBy;eventDate;country;stateProvince;county;locality;decimalLatitude;decimalLongitude;minimumElevationInMeters;scientificName;taxoank;individualCount;class;order;family;genus;SD;specificEpithet
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 94;94;M8. CC. 94;Montaje en alfiler;E. Medina, A. Villán;J. Gallego, E. Peña;17/12/1997;Colombia;Quindío;Calarcá;SD;SD;SD;1490;Syrphidae;Familia;1;Insecta;Diptera;Syrphidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 95;94;M8. CC. 95;Montaje en alfiler;E. Medina, A. Villán;J. Gallego, E. Peña;28/02/1998;Colombia;Quindío;Calarcá;SD;SD;SD;1490;Syrphidae;Familia;1;Insecta;Diptera;Syrphidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 96;94;M8. CC. 96;Montaje en alfiler;Cano, C. & Quintero, M.;Cano, C. & Quintero, M.;15/05/2009;Colombia;Quindio;Tebaida;SD;SD;SD;1200;Tachinidae;Familia;1;Insecta;Diptera;Tachinidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 97;94;M8. CC. 97;Montaje en alfiler;A. Mejia & A. Duque;A. Mejia & A. Duque;18/04/2009;Colombia;Quindio;Armenia;SD;SD;SD;1483;Calliphoridae;Familia;1;Insecta;Diptera;Calliphoridae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 98;94;M8. CC. 98;Montaje en alfiler;H. L. Arias;H. L. Arias;25/04/2008;Colombia;Quindío;Armenia;SD;SD;SD;1498;Asilidae;Familia;1;Insecta;Diptera;Asilidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 99;94;M8. CC. 99;Montaje en alfiler;M. Gallego;M. Gallego;SD;Colombia;Quindío;La Tebaida;Padilla;SD;SD;1200;Tephritidae;Familia;1;Insecta;Diptera;Tephritidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 100;94;M8. CC. 100;Montaje en alfiler;H. L. Arias;H. L. Arias;25/04/2008;Colombia;Quindío;Armenia;SD;SD;SD;1498;Syrphidae;Familia;1;Insecta;Diptera;Syrphidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 101;94;M8. CC. 101;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Culicidae;Familia;1;Insecta;Diptera;Culicidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 102;94;M8. CC. 102;Montaje en alfiler;L. Delgado, M. Quintero, P. Zapata;L. Delgado, M. Quintero, P. Zapata;00/09/2008;Colombia;Quindío;Armenia;SD;SD;SD;1500;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 103;94;M8. CC. 103;Montaje en alfiler;SD;J. Gallego, E. Peña;SD;Colombia;SD;SD;SD;SD;SD;SD;Muscidae;Familia;1;Insecta;Diptera;Muscidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 104;94;M8. CC. 104;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
